evid,std_x_km,std_y_km,std_z_km,std_t_s,std_xyz_km,ess_xyzt_min,ess_x,ess_y,ess_z,ess_t,n_samples,degree,ess_rank_hi,std_rank_lo,suspicious_score
922,0.010180227,0.009180348,0.01919655,0.008060912,0.023588628,145.25694,254.68813,227.71854,145.25694,169.89719,12602,245,0.021158129175946547,0.07015590200445435,0.0014843676370652923
233,0.010200708,0.011167922,0.02452992,0.00848846,0.028818293,173.27643,192.58066,257.05548,173.27643,184.26634,12602,237,0.005567928730512249,0.19933184855233851,0.0011098655264606822
299,0.01278894,0.012878348,0.01903268,0.009255797,0.026299272,169.2201,362.66873,320.357,204.4732,169.2201,12602,58,0.006681514476614699,0.13808463251670378,0.0009226144711583771
402,0.021802269,0.014921676,0.025005946,0.011550577,0.03637709,177.60236,177.60236,296.08264,219.14973,212.53674,12602,27,0.0022271714922048997,0.39866369710467703,0.0008878924211685457
359,0.01074239,0.009215283,0.011088376,0.0048532463,0.01797978,20.768654,26.254503,20.768654,30.3646,101.49034,12602,520,0.7628062360801782,0.0011135857461024498,0.0008494501515369467
167,0.010167963,0.008716231,0.012442881,0.0063069123,0.018280739,48.926342,129.32973,97.40257,48.926342,188.68019,12602,601,0.3240534521158129,0.0022271714922048997,0.000721722610502924
12,0.01441645,0.014024147,0.02710791,0.008977521,0.033754252,203.76498,261.11258,284.65466,203.76498,278.9085,12602,100,0.0011135857461024498,0.33853006681514475,0.00037698225703245515
170,0.009365437,0.009747695,0.017325597,0.007415348,0.021975106,165.81783,339.9679,261.3469,176.66783,165.81783,12602,263,0.007795100222717149,0.04120267260579064,0.0003211789624059404
838,0.012076076,0.011964281,0.017597394,0.0110966405,0.0244672,177.1016,237.4743,300.67697,202.35983,177.1016,12602,45,0.0033407572383073493,0.09576837416481068,0.00031993888919201784
961,0.012278995,0.011886648,0.013114211,0.0061644544,0.02154179,163.77005,267.26868,163.77005,199.62576,188.4689,12602,128,0.010022271714922048,0.031180400890868595,0.0003124984499084825
553,0.011657884,0.011227009,0.015505488,0.010681059,0.02241366,173.8678,270.01688,328.27835,244.78137,173.8678,12602,68,0.004454342984409799,0.05345211581291759,0.00023809405707312956
236,0.010407866,0.009843039,0.013578336,0.0070372066,0.01973779,143.1395,336.61478,219.46425,202.77773,143.1395,12602,237,0.022271714922048998,0.006681514476614699,0.000148808785670706
